iter	Passed	Remaining
0	26	26887
1	40	20369
2	54	18100
3	91	22846
4	106	21243
5	125	20828
6	138	19713
7	152	18929
8	167	18396
9	182	18083
10	196	17711
11	210	17368
12	225	17089
13	238	16815
14	251	16527
15	266	16371
16	279	16174
17	294	16076
18	309	15990
19	323	15849
20	337	15743
21	351	15615
22	365	15511
23	381	15511
24	396	15467
25	411	15426
26	424	15301
27	438	15233
28	451	15123
29	464	15024
30	478	14964
31	492	14908
32	506	14830
33	516	14678
34	529	14605
35	543	14555
36	556	14490
37	569	14423
38	582	14356
39	596	14309
40	610	14286
41	624	14252
42	637	14177
43	648	14089
44	662	14051
45	674	13997
46	687	13940
47	700	13902
48	714	13863
49	725	13789
50	739	13761
51	752	13714
52	762	13631
53	777	13624
54	791	13601
55	804	13568
56	818	13537
57	831	13510
58	845	13490
59	860	13483
60	874	13468
61	887	13431
62	900	13397
63	913	13364
64	926	13332
65	942	13338
66	955	13312
67	968	13274
68	983	13265
69	997	13254
70	1011	13236
71	1025	13220
72	1039	13200
73	1053	13177
74	1067	13161
75	1080	13135
76	1093	13105
77	1107	13086
78	1120	13060
79	1133	13039
80	1147	13020
81	1160	12993
82	1174	12974
83	1187	12953
84	1202	12942
85	1217	12934
86	1228	12888
87	1243	12887
88	1258	12880
89	1285	12995
90	1303	13025
91	1317	12999
92	1330	12976
93	1344	12961
94	1357	12930
95	1369	12898
96	1384	12888
97	1399	12884
98	1413	12866
99	1429	12869
100	1445	12867
101	1459	12851
102	1475	12849
103	1489	12834
104	1504	12823
105	1518	12805
106	1531	12782
107	1544	12758
108	1557	12728
109	1570	12704
110	1583	12685
111	1595	12652
112	1609	12632
113	1621	12603
114	1634	12578
115	1648	12560
116	1659	12527
117	1673	12506
118	1686	12482
119	1698	12457
120	1712	12439
121	1725	12415
122	1738	12393
123	1750	12368
124	1763	12341
125	1775	12317
126	1790	12306
127	1802	12281
128	1816	12263
129	1829	12246
130	1843	12227
131	1856	12206
132	1869	12184
133	1881	12157
134	1893	12134
135	1907	12116
136	1920	12099
137	1934	12086
138	1947	12064
139	1960	12040
140	1971	12013
141	1984	11990
142	1997	11969
143	2011	11955
144	2029	11967
145	2042	11949
146	2056	11933
147	2070	11920
148	2083	11900
149	2097	11888
150	2110	11864
151	2122	11839
152	2136	11825
153	2149	11806
154	2161	11781
155	2182	11805
156	2196	11795
157	2210	11777
158	2224	11764
159	2235	11736
160	2250	11729
161	2266	11723
162	2277	11694
163	2288	11665
164	2300	11640
165	2311	11612
166	2324	11595
167	2335	11568
168	2347	11541
169	2359	11517
170	2370	11490
171	2381	11466
172	2392	11436
173	2404	11413
174	2415	11388
175	2427	11364
176	2439	11341
177	2450	11315
178	2461	11290
179	2472	11264
180	2484	11242
181	2496	11218
182	2507	11192
183	2518	11167
184	2528	11140
185	2540	11116
186	2550	11089
187	2561	11062
188	2571	11035
189	2582	11010
190	2592	10982
191	2602	10954
192	2613	10928
193	2624	10902
194	2634	10877
195	2646	10855
196	2657	10833
197	2669	10812
198	2680	10787
